,german,french,Distances
0,ja,oui,0.0
1,nein,non,1.0
2,hast,ont,0.3333333333333333
3,gut,bien,0.0
4,schon,belle,0.0
5,mal,fois,0.0
6,weiß,blanc,0.0
7,s,s,1.0
8,geht,se rend,0.0
9,oh,oh,1.0
10,mehr,suite,0.0
11,bitte,de rien,0.0
12,immer,toujours,0.25
13,warum,pourquoi,0.3333333333333333
14,los,allez,0.3333333333333333
15,sagen,dire,0.0
16,danke,merci,0.0
17,mann,mari,0.3333333333333333
18,tun,fais,0.0
19,gehen,marche,0.0
20,sehen,voir,0.0
21,vielleicht,peut-être,0.0
22,wer,qui,0.0
23,komm,viens,0.0
24,gibt,sommes,0.0
25,okay,d'accord,0.0
26,wissen,à savoir,0.2
27,müssen,devoir,0.0
28,nie,jamais,0.0
29,wirklich,vraiment,0.16666666666666666
30,hey,hé,0.5
31,tut,est-ce que,0.16666666666666666
32,einfach,facile,0.5
33,leben,la vie,0.3333333333333333
34,zeit,temps,0.0
35,willst,vouloir,0.2
36,kommen,viens,0.0
37,heute,aujourd'hui,0.0
38,kommt,vient,0.25
39,ganz,tout,0.0
40,wäre,aurait,0.0
41,weißt,connaître,0.16666666666666666
42,ok,d'accord,0.0
43,sicher,sécurisé,0.3333333333333333
44,gesagt,a dit,0.25
45,frau,mme,0.0
46,wurde,est devenu,0.16666666666666666
47,leid,souffrance,0.0
48,na,n / a,0.25
49,kannst,boîte,0.2
50,macht,puissance,0.0
51,zurück,revenir,0.2
52,lassen,laisser,0.75
53,hallo,bonjour,0.0
54,gott,dieu,0.0
55,hätte,aurait,0.25
56,zwei,deux,0.0
57,genau,je suis d'accord,0.0
58,lass,laisser,0.75
59,klar,dégager,0.2
60,morgen,matin,0.5
61,leute,personnes,0.0
62,vater,père,0.3333333333333333
63,schön,agréable,0.0
64,glaube,croire,0.0
65,mr.,m.,0.6666666666666666
66,ab,une façon,0.0
67,gerade,juste,0.0
68,tag,jour,0.0
69,gesehen,vu,0.0
70,reden,parler,0.25
71,wohl,probablement,0.125
72,liebe,aimer,0.0
73,sagte,a dit,0.3333333333333333
74,jemand,quelqu'un,0.0
75,geld,argent,0.25
76,mutter,mère,0.5
77,raus,dehors,0.5
78,gemacht,a fait,0.2
79,paar,peu,0.5
80,mach,fais,0.0
81,passiert,passé,0.6
82,dachte,pensait,0.25
83,besser,meilleur,0.25
84,musst,devoir,0.0
85,wieso,comment venir,0.0
86,sir,monsieur,0.5
87,gehört,entendu,0.0
88,möchte,voudrais,0.0
89,hör,ecoutez,0.0
90,her,ici,0.0
91,sag,dire,0.0
92,helfen,aider,0.0
93,nacht,nuit,0.5
94,finden,trouver,0.0
95,gute,qualité,0.25
96,lange,long,1.0
97,natürlich,naturellement,0.375
98,ach,oh,0.5
99,gar,du tout,0.0
100,sei,être,0.0
101,geben,donner,0.25
102,seit,puisque,0.3333333333333333
103,gleich,même,0.0
104,sagt,dit,0.3333333333333333
105,recht,droit,0.25
106,richtig,corriger,0.2
107,ordnung,ordre,0.4
108,hören,ecoutez,0.0
109,sieht,voit,0.3333333333333333
110,davon,à partir de ce,0.1
111,dafür,par conséquent,0.0
112,geh,aller,0.0
113,wegen,car,0.0
114,hause,domicile,0.0
115,sollten,devrait,0.2
116,mädchen,fille,0.0
117,sollen,devoir,0.0
118,abend,soirée,0.0
119,haus,une maison,0.2
120,denke,pense,0.3333333333333333
121,viele,de nombreux,0.0
122,drei,trois,0.3333333333333333
123,freund,ami,0.0
124,guten,bien,0.3333333333333333
125,warte,attendez,0.0
126,machst,fais,0.2
127,menschen,personnes,0.16666666666666666
128,essen,repas,0.0
129,angst,craindre,0.0
130,bleiben,rester,0.0
131,zusammen,ensemble,0.4
132,welt,monde,0.0
133,habt,ont,0.3333333333333333
134,schnell,rapidement,0.0
135,tot,morte,0.3333333333333333
136,getan,a fait,0.0
137,darf,peut,0.0
138,erst,première,0.2
139,rein,pur,0.0
140,stimmt,droit,0.2
141,nehmen,prendre,0.0
142,kinder,enfants,0.2
143,glauben,croire,0.0
144,bringen,apporter,0.0
145,ganze,ensemble,0.0
146,genug,suffisant,0.16666666666666666
147,scheiße,et mince,0.0
148,brauchen,avoir besoin,0.3333333333333333
149,moment,moment,1.0
150,junge,garçon,0.0
151,steht,des stands,0.25
152,musik,musique,0.6666666666666666
153,arbeit,travail,0.25
154,seid,sommes,0.25
155,fragen,interroger,0.3333333333333333
156,herr,m,0.0
157,dabei,inclus,0.0
158,heißt,appelé,0.0
159,familie,famille,0.75
160,warten,attendre,0.2
161,niemand,personne,0.2
162,sofort,immédiatement,0.125
163,bevor,avant de,0.0
164,jahre,années,0.0
165,problem,problème,0.8333333333333334
166,sohn,fils,0.0
167,wann,lorsque,0.0
168,brauche,besoin,0.25
169,fertig,achevé,0.0
170,halt,arrêt,0.25
171,allein,seul,0.3333333333333333
172,beim,au,0.0
173,sprechen,parler,0.3333333333333333
174,beide,tous les deux,0.125
