,english,german,Distances
0,know,kennt,0.5
1,like,wie,0.0
2,get,erhalten,0.2
3,go,gehen,0.3333333333333333
4,right,rechts,0.6
5,one,ein,1.0
6,come,kommen sie,0.16666666666666666
7,oh,oh,1.0
8,well,gut,0.0
9,want,wollen,0.25
10,got,habe,0.0
11,yeah,ja,0.0
12,think,denken,0.25
13,see,sehen,0.3333333333333333
14,good,gut,0.5
15,let,lassen,0.25
16,yes,jawohl,0.0
17,going,gehen,0.3333333333333333
18,l,l,1.0
19,time,zeit,0.0
20,back,der rücken,0.25
21,okay,in ordnung,0.0
22,look,sehen,0.0
23,us,uns,0.5
24,take,nehmen,0.0
25,would,würde,0.5
26,tell,erzählen,0.16666666666666666
27,man,mann,0.6666666666666666
28,say,sagen,0.3333333333333333
29,really,ja wirklich,0.25
30,gonna,wird,0.0
31,hey,hallo,0.3333333333333333
32,could,könnte,0.0
33,something,etwas,0.16666666666666666
34,need,brauchen,0.0
35,way,weg,0.5
36,make,machen,0.25
37,never,noch nie,0.2
38,people,personen,0.2
39,little,kleine,0.0
40,please,bitte,0.0
41,love,liebe,0.5
42,give,geben,0.3333333333333333
43,sorry,verzeihung,0.16666666666666666
44,said,sagte,0.3333333333333333
45,mean,gemein,0.6666666666666666
46,two,zwei,0.5
47,thank,danken,0.25
48,even,eben,0.5
49,much,viel,0.0
50,sure,sicher,0.5
51,thing,sache,0.0
52,help,hilfe,0.6666666666666666
53,first,erste,0.75
54,anything,irgendetwas,0.14285714285714285
55,still,still,1.0
56,sir,herr,0.3333333333333333
57,life,leben,0.3333333333333333
58,nothing,nichts,0.4
59,find,finden,0.75
60,god,gott,0.3333333333333333
61,day,tag,0.0
62,work,arbeit,0.0
63,must,muss,0.6666666666666666
64,stop,pause,0.0
65,maybe,kann sein,0.0
66,call,anruf,0.0
67,wait,warten,0.5
68,away,weg,0.5
69,talk,sprechen,0.0
70,night,nacht,0.75
71,home,heimat,0.6666666666666666
72,uh,äh,0.5
73,thought,gedanke,0.0
74,put,stellen,0.2
75,great,großartig,0.5
76,last,letzte,0.5
77,better,besser,0.5
78,everything,alles,0.0
79,told,gesagt,0.0
80,new,neu,0.5
81,always,stets,0.25
82,things,dinge,0.4
83,long,lang,1.0
84,keep,behalten,0.0
85,leave,verlassen,0.16666666666666666
86,years,jahre,0.0
87,money,geld,0.0
88,around,um,0.0
89,name,name,1.0
90,father,vater,0.5
91,guy,kerl,0.0
92,place,platz,0.5
93,feel,gefühl,0.4
94,ever,je,0.0
95,guys,leute,0.0
96,old,alt,0.5
97,made,gemacht,0.2
98,big,groß,0.0
99,nice,nett,0.3333333333333333
100,girl,mädchen,0.0
101,hello,hallo,1.0
102,believe,glauben,0.25
103,done,fertig,0.0
104,ok,ok,1.0
105,lot,viel,0.0
106,fine,fein,1.0
107,someone,jemand,0.5
108,thanks,danke,0.4
109,house,haus,1.0
110,wanted,gesucht,0.0
111,coming,kommen,0.25
112,kind,nett,0.0
113,every,jeder,0.0
114,stay,bleibe,0.0
115,left,links,0.25
116,mother,mutter,0.75
117,enough,genügend,0.3333333333333333
118,may,kann,0.0
119,course,kurs,0.6666666666666666
120,dad,vati,0.0
121,happened,passiert,0.0
122,wrong,falsch,0.0
123,listen,hören,0.25
124,bad,schlecht,0.0
125,came,kam,0.5
126,understand,verstehe,0.42857142857142855
127,three,drei,0.3333333333333333
128,today,heute,0.0
129,world,welt,0.5
130,another,ein weiterer,0.5
131,hear,hören,0.5
132,remember,denken sie daran,0.1
133,might,könnte,0.2
134,ask,fragen,0.0
135,kill,töten,0.0
136,show,show,1.0
137,else,anders,0.25
138,talking,sprechen,0.0
139,found,gefunden,0.6
140,care,pflege,0.0
141,son,sohn,0.6666666666666666
142,car,wagen,0.0
143,next,nächste,0.3333333333333333
144,getting,bekommen,0.0
145,try,versuchen,0.16666666666666666
146,looking,suchen,0.0
147,woman,frau,0.0
148,dead,tot,0.0
149,hi,hallo,0.3333333333333333
150,went,ging,0.3333333333333333
151,many,viele,0.0
152,friend,freund,1.0
153,mind,geist,0.0
154,hell,hölle,0.75
155,mom,mutter,0.25
156,boy,junge,0.0
157,best,beste,1.0
158,morning,morgen,0.6
159,together,zusammen,0.0
160,saw,gesehen,0.25
161,trying,versuchen,0.16666666666666666
162,job,arbeit,0.3333333333333333
163,without,ohne,0.25
164,real,echt,0.0
165,baby,baby,1.0
166,family,familie,0.75
167,room,zimmer,0.25
168,move,bewegung,0.0
169,already,bereits,0.25
170,live,leben,0.3333333333333333
171,seen,gesehen,0.5
172,miss,fehlschlagen,0.1111111111111111
173,shit,scheisse,0.4
174,actually,eigentlich,0.3333333333333333
175,heard,gehört,0.4
176,brother,bruder,0.6
177,head,kopf,0.0
178,ready,bereit,0.0
179,happy,glücklich,0.0
180,huh,huh,1.0
181,hold,halt,0.6666666666666666
182,called,namens,0.0
183,used,gebraucht,0.0
184,knew,wusste,0.0
185,men,männer,0.4
186,idea,idee,1.0
187,wife,ehefrau,0.3333333333333333
188,yet,noch,0.0
189,took,nahm,0.0
190,fuck,scheiße,0.25
191,also,zudem,0.0
192,pretty,hübsch,0.0
193,days,tage,0.0
194,since,seit,0.3333333333333333
195,whole,ganz,0.0
196,tomorrow,morgen,0.4
197,start,anfang,0.0
198,use,benutzen,0.0
199,door,tür,0.3333333333333333
200,bit,bit,1.0
201,matter,angelegenheit,0.0
202,bring,bringen,0.8
203,meet,treffen,0.0
204,tonight,heute abend,0.16666666666666666
205,guess,erraten,0.0
206,run,lauf,0.0
207,alone,allein,0.6666666666666666
208,everyone,jedermann,0.3333333333333333
209,school,schule,1.0
210,gone,weg,0.0
211,hard,schwer,0.2
212,wanna,will,0.3333333333333333
213,play,abspielen,0.4
214,problem,problem,1.0
215,end,ende,1.0
216,saying,sprichwort,0.125
217,open,offen,0.3333333333333333
218,friends,freunde,0.8
219,fucking,ficken,0.8
220,ago,vor,0.0
221,killed,getötet,0.0
222,looks,sieht aus,0.2
223,gotta,muss,0.0
224,ah,ah,1.0
225,anyone,jeder,0.0
226,phone,telefon,0.25
227,hope,hoffnung,0.16666666666666666
228,lost,hat verloren,0.125
229,excuse,entschuldigung,0.1
230,face,gesicht,0.2
231,um,äh,0.0
232,die,sterben,0.0
233,turn,wende,0.0
234,police,polizei,0.6666666666666666
235,heart,herz,0.6666666666666666
236,wants,will,0.25
237,says,sagt,0.3333333333333333
238,true,stimmt,0.2
239,worry,sorge,0.25
240,soon,bald,0.0
241,business,geschäft,0.14285714285714285
242,case,fall,0.0
243,later,später,0.4
244,watch,beobachten,0.3333333333333333
245,year,jahr,0.3333333333333333
246,hand,hand,1.0
247,beautiful,schön,0.0
248,doctor,arzt,0.25
249,eat,essen,0.0
250,sit,mach sitz,0.2857142857142857
251,probably,wahrscheinlich,0.2
252,thinking,denken,0.5
253,late,spät,0.25
254,forget,vergessen,0.3333333333333333
255,young,jung,0.6666666666666666
256,second,zweite,0.0
257,kids,kinder,0.5
258,kid,kind,0.6666666666666666
259,pay,zahlen,0.0
260,crazy,verrückt,0.14285714285714285
261,water,wasser,0.5
262,death,tod,0.3333333333333333
263,working,arbeiten,0.2
264,stuff,sachen,0.25
265,minute,minute,1.0
266,part,teil,0.0
267,person,person,1.0
268,everybody,alle,0.0
269,damn,verdammt,0.3333333333333333
270,drink,getränk,0.5
271,gave,gab,0.5
272,change,rückgeld,0.14285714285714285
273,exactly,exakt,0.4
274,happen,passieren,0.2
275,shut,geschlossen,0.25
276,five,fünf,0.25
277,knows,weiß,0.25
278,eyes,augen,0.0
279,hit,schlag,0.2
280,far,weit,0.0
281,easy,leicht,0.0
282,whatever,wie auch immer,0.375
283,hands,hände,0.5
284,taking,nehmen,0.0
285,times,mal,0.3333333333333333
286,check,überprüfen,0.0
287,minutes,protokoll,0.16666666666666666
288,music,musik,0.6666666666666666
289,inside,innerhalb,0.16666666666666666
290,sleep,schlafen,0.3333333333333333
291,means,meint,0.6666666666666666
292,somebody,jemand,0.4
293,mine,bergwerk,0.0
294,deal,handeln,0.4
295,different,anders,0.16666666666666666
296,asked,fragte,0.0
297,makes,macht,0.25
298,point,punkt,0.75
299,afraid,besorgt,0.2
300,body,karosserie,0.0
