,french,spanish,Distances
0,c',vs',0.3333333333333333
1,a,posee,0.0
2,l',yo',0.5
3,j',i,0.0
4,ça,que,0.0
5,d',de,0.5
6,qu',que,0.5
7,n',no',1.0
8,bien,bien,1.0
9,si,si,1.0
10,non,no,0.5
11,t',tú,0.5
12,tout,todo,0.5
13,plus,más,0.3333333333333333
14,m',yo,0.0
15,fait,hacer,0.0
16,s',si,0.5
17,oui,sí,0.0
18,va,vamos,0.3333333333333333
19,faire,hacer,0.3333333333333333
20,quoi,qué,0.5
21,comme,como,0.6666666666666666
22,sais,saber,0.3333333333333333
23,être,estar,0.6666666666666666
24,veux,desear,0.0
25,ici,aquí,0.0
26,est-ce,lo es,0.0
27,dit,dijo,0.5
28,pourquoi,por qué,0.6
29,où,dónde,0.0
30,là,la,0.5
31,rien,nada,0.0
32,cette,este,0.3333333333333333
33,quand,cuando,0.6666666666666666
34,peux,puedo,0.5
35,dire,decir,0.6666666666666666
36,vais,vamos,0.6666666666666666
37,alors,entonces,0.2
38,comment,¿cómo? 'o' ¿qué?,0.15384615384615385
39,chose,cosa,0.6666666666666666
40,bon,bien,1.0
41,merci,gracias,0.5
42,juste,sólo,0.0
43,très,muy,0.0
44,jamais,nunca,0.0
45,aussi,también,0.0
46,avoir,haber,0.3333333333333333
47,vraiment,de verdad,0.16666666666666666
48,voir,ver,1.0
49,oh,vaya,0.0
50,maintenant,ahora,0.0
51,tous,todos,0.6666666666666666
52,peut,puede,0.5
53,deux,de ellos,0.2
54,allez,vamos,0.0
55,autre,otro,1.0
56,peu,poco,0.5
57,temps,tiempo,0.75
58,quelque,alguno,0.0
59,fais,hacer,0.0
60,toujours,todavía,0.25
61,encore,otra vez,0.0
62,besoin,necesitar,0.2
63,accord,ok,0.0
64,faut,debería,0.0
65,dois,debo,0.5
66,vie,vida,0.5
67,peut-être,puede ser,0.3333333333333333
68,aller,vamos,0.0
69,fois,tiempo,0.0
70,vu,visto,0.3333333333333333
71,donc,entonces,0.4
72,sans,sin que,0.5
73,monde,mundo,1.0
74,parce,por,0.6666666666666666
75,avant,antes de,0.2
76,sûr,seguro,0.6666666666666666
77,trop,demasiado,0.0
78,quelqu',alguien,0.25
79,parler,hablar,0.5
80,personne,nadie,0.2
81,père,papá,0.3333333333333333
82,crois,creer,0.6666666666666666
83,après,después,0.2
84,dieu,dios,0.5
85,ouais,sí,0.5
86,pense,pensar,0.75
87,aime,amor,0.5
88,homme,hombre,0.5
89,viens,ven,0.6666666666666666
90,vrai,real,0.0
91,femme,mujeres,0.0
92,ok,ok,1.0
93,doit,deber,0.3333333333333333
94,veut,querer,0.0
95,ans,año,0.0
96,m.,señor.,0.25
97,mal,mal,1.0
98,chez,en la casa de,0.125
99,déjà,ya,0.0
100,depuis,desde,0.3333333333333333
101,beaucoup,mucho,0.3333333333333333
102,bonne,buena,0.6666666666666666
103,mort,muerto,1.0
104,mieux,mejor,0.3333333333333333
105,vas,vamos,0.6666666666666666
106,mère,madre,0.6666666666666666
107,dis,decir,0.3333333333333333
108,fille,hija,0.0
109,gens,gente,0.6666666666666666
110,quel,qué,0.5
111,vois,ver,0.5
112,désolé,lo siento,0.2
113,ca,que,0.0
114,voilà,listo,0.0
115,petit,pequeño,0.3333333333333333
116,maison,hogar,0.0
117,cela,que,0.0
118,autres,otros,1.0
119,toute,toda,0.5
120,soir,tardecita,0.2
121,passé,pasado,0.5
122,prendre,tomar,0.2
123,jour,día,0.0
124,monsieur,señor,0.25
125,savoir,saber,0.6666666666666666
126,choses,cosas,0.75
127,salut,hola,0.3333333333333333
128,cet,este,0.5
129,nom,apellido,0.0
130,argent,dinero,0.25
131,bonjour,buenos dias,0.3333333333333333
132,nuit,noche,0.3333333333333333
133,raison,razón,0.5
134,moins,menos,1.0
135,arrive,llegado,0.0
136,maman,mamá,0.6666666666666666
137,reste,descansar,0.16666666666666666
138,moment,momento,1.0
139,voulais,querido,0.0
140,seul,sólo,0.6666666666666666
141,aider,ayudar,0.6666666666666666
142,air,aire,1.0
143,entre,entre,1.0
144,papa,padre,0.3333333333333333
145,passe,pasar,0.6666666666666666
146,problème,problema,0.8333333333333334
147,ah,ah,1.0
148,peur,miedo,0.0
149,regarde,mirado,0.5
150,voulez,desear,0.0
151,gars,tipo,0.0
152,trouvé,fundar,0.0
153,fils,hijo,0.0
154,attends,esperar,0.0
155,savez,saber,0.3333333333333333
156,jusqu',arriba,0.0
157,trouver,encontrar,0.3333333333333333
158,trois,tres,1.0
159,assez,suficiente,0.2
160,famille,familia,0.75
161,dû,de,0.5
162,eh,oye,0.0
163,toutes,todas,0.6666666666666666
164,plaît,por favor,0.16666666666666666
165,pourrait,pudo,0.25
166,travail,trabajar,0.4
167,pris,tomado,0.0
168,pu,pudo,0.5
169,tête,cabeza,0.0
170,quelle,qué,0.3333333333333333
171,sait,sabe,0.5
172,appelle,llamar,0.0
173,quelques,algunas,0.25
174,faites,hecho,0.0
175,partir,"marcharse, irse",0.2
176,vite,rápido,0.0
177,arrête,detenido,0.0
178,seule,solamente,0.4
179,voiture,carro,0.3333333333333333
180,enfants,niños,0.4
181,tuer,matar,0.6666666666666666
182,merde,mierda,1.0
183,hé,oye,0.0
184,pendant,durante,0.4
185,idée,ocurrencia,0.0
186,chance,suerte,0.0
187,parle,hablar,0.25
188,part,vamos,0.0
189,elles,ellas,1.0
190,jours,días,0.3333333333333333
191,grand,grande,1.0
192,aujourd'hui,este dia,0.0
193,venir,venir,1.0
194,ami,amigo,0.5
195,demain,mañana,0.3333333333333333
196,hein,eh,0.5
197,tard,tarde,1.0
198,puis,después,0.4
199,truc,cosa,0.0
200,passer,gastar,0.5
201,petite,pequeña,0.3333333333333333
202,tant,mucho,0.0
203,connais,saber,0.0
204,combien,cuanto,0.25
205,mec,tipo,0.0
206,sens,sentido,0.5
207,pouvez,pueden,0.3333333333333333
208,porte,portón,0.6
209,sortir,salir,0.5
210,super,excelente,0.0
211,heure,hora,1.0
212,contre,versus,0.0
213,coup,corte,0.3333333333333333
214,comprends,comprender,0.8571428571428571
215,entendu,comprendido,0.2857142857142857
216,vient,venir,0.6666666666666666
217,allons,vamos,0.25
218,ensemble,juntos,0.0
219,nouveau,nuevo,1.0
220,amour,amor,1.0
221,importe,importado,0.8
222,sang,sangre,0.75
223,désolée,perdón,0.0
224,cas,caso,1.0
225,sous,por debajo,0.0
226,rester,quédate,0.0
227,amis,amigos,0.6666666666666666
228,prends,tomar,0.0
229,fini,acabado,0.0
230,hommes,hombres,0.6
231,tué,matar,0.3333333333333333
232,question,pregunta,0.2
233,partie,parte,1.0
234,histoire,historia,1.0
235,devrais,debería,0.5
236,aide,ayuda,0.5
237,dernière,ultimo,0.0
238,demande,solicitud,0.2
239,chercher,buscar,0.3333333333333333
240,pensais,pensamiento,0.5
241,genre,género,0.75
242,seulement,solamente,1.0
243,police,policía,0.75
244,car,porque,0.3333333333333333
245,mois,mes,1.0
246,frère,hermano,0.25
247,laisser,dejar,0.25
248,aucun,ninguna,0.25
249,mettre,poner,0.25
250,laisse,dejar solo,0.16666666666666666
251,chaque,cada,0.3333333333333333
252,ville,pueblo,0.3333333333333333
253,arrivé,venir,0.0
254,devrait,debería,0.5
255,parlé,hablar,0.25
256,avez-vous,tiene,0.0
257,vont,van,0.6666666666666666
258,longtemps,mucho tiempo,0.2857142857142857
259,aucune,ninguna,0.25
260,heures,horas,1.0
261,bébé,bebé,0.75
262,place,cuadrado,0.0
263,revoir,ver de nuevo,0.14285714285714285
264,putain,puta,0.6666666666666666
265,compris,comprendido,0.5714285714285714
266,ni,ninguno de los dos,0.08333333333333333
267,savais,supo,0.3333333333333333
268,leurs,sus,0.3333333333333333
269,attention,atención,0.4
270,donner,dar,0.5
271,affaire,asunto,0.0
