,french,german,Distances
0,a,verfügt über,0.0
1,ça,das,0.0
2,bien,gut,0.0
3,si,wenn,0.0
4,non,nö,0.5
5,tout,alles,0.0
6,plus,mehr,0.0
7,fait,tatsache,0.2
8,oui,ja,0.0
9,va,gehen,0.0
10,faire,machen,0.0
11,quoi,was,0.0
12,comme,als,0.0
13,sais,kennt,0.0
14,veux,wollen,0.0
15,être,sein,0.0
16,ici,hier,0.0
17,dit,genannt,0.2
18,pourquoi,warum,0.3333333333333333
19,où,oder,0.0
20,rien,nichts,0.0
21,là,das,0.0
22,cette,dies,0.0
23,peux,kann,0.0
24,quand,wenn,0.3333333333333333
25,dire,sagen,0.0
26,alors,so,0.3333333333333333
27,vais,werde,0.0
28,comment,wie? 'oder' was,0.0
29,chose,sache,0.3333333333333333
30,bon,brunnen,0.4
31,merci,danke,0.0
32,juste,korrekt,0.2
33,très,sehr,0.0
34,jamais,noch nie,0.0
35,avoir,haben,0.0
36,vraiment,ja wirklich,0.125
37,aussi,zudem,0.0
38,voir,um zu sehen,0.0
39,oh,oh,1.0
40,maintenant,jetzt,0.3333333333333333
41,tous,alles,0.3333333333333333
42,peut,kann,0.0
43,deux,von ihnen,0.0
44,allez,gehen,0.0
45,autre,sonstiges,0.16666666666666666
46,fais,tun,0.0
47,peu,kleine,0.0
48,quelque,etwas,0.0
49,temps,wetter,0.0
50,toujours,still,0.0
51,encore,wieder,0.3333333333333333
52,besoin,brauchen,0.4
53,accord,handeln,0.0
54,faut,sollen,0.0
55,dois,muss,0.3333333333333333
56,vie,leben,0.0
57,aller,gehen,0.0
58,fois,zeit,0.0
59,vu,gesehen,0.0
60,sans,ohne,0.3333333333333333
61,donc,so,0.0
62,monde,welt,0.0
63,avant,vor,0.3333333333333333
64,sûr,sicher,0.5
65,parce,von,0.0
66,trop,zu viel,0.0
67,parler,sich unterhalten,0.18181818181818182
68,père,vati,0.0
69,personne,niemand,0.2
70,crois,glauben,0.0
71,après,gemäß,0.0
72,ouais,ja,0.0
73,dieu,gott,0.0
74,pense,denken,0.25
75,aime,liebe,0.0
76,homme,mann,0.0
77,viens,kommen sie,0.3333333333333333
78,femme,frauen,0.3333333333333333
79,ok,in ordnung,0.0
80,vrai,wahr,0.3333333333333333
81,ans,jahre,0.0
82,veut,will,0.0
83,doit,muss,0.0
84,mal,böse,0.0
85,chez,im haus von,0.14285714285714285
86,depuis,aus,0.3333333333333333
87,déjà,bereits,0.0
88,beaucoup,eine menge,0.0
89,mort,tot,0.3333333333333333
90,bonne,gut,0.0
91,mieux,besser,0.0
92,mère,mutter,0.5
93,vas,gehen,0.0
94,fille,tochter,0.0
95,dis,sagen,0.0
96,ca,das,0.0
97,gens,menschen,0.3333333333333333
98,quel,was,0.0
99,vois,sehen,0.0
100,désolé,verzeihung,0.0
101,voilà,so,0.0
102,petit,klein,0.0
103,maison,heimat,0.0
104,soir,abend,0.0
105,cela,das,0.0
106,autres,andere,0.0
107,toute,alles,0.0
108,passé,vergangenheit,0.0
109,jour,tag,0.0
110,prendre,nehmen,0.0
111,monsieur,herr,0.25
112,savoir,wissen,0.25
113,argent,silber-,0.0
114,choses,dinge,0.0
115,salut,hi,0.0
116,nom,name,1.0
117,cet,diese,0.0
118,nuit,nacht,0.5
119,bonjour,guten morgen,0.25
120,raison,grund,0.25
121,moins,weniger,0.25
122,arrive,angekommen,0.0
123,maman,mutter,0.25
124,reste,sich ausruhen,0.125
125,voulais,gesucht,0.0
126,air,luft,0.0
127,seul,nur,0.0
128,moment,moment,1.0
129,aider,helfen,0.0
130,papa,vater,0.0
131,entre,zwischen,0.0
132,passe,passieren,0.6
133,problème,problem,0.8333333333333334
134,peur,furcht,0.2
135,regarde,sah,0.0
136,gars,leute,0.0
137,voulez,wollen,0.25
138,fils,sohn,0.0
139,trouvé,gefunden,0.0
140,attends,festhalten,0.14285714285714285
141,eh,hallo,0.3333333333333333
142,savez,kennt,0.0
143,trois,drei,0.3333333333333333
144,dû,von,0.0
145,assez,genügend,0.0
146,plaît,bitte,0.25
147,famille,familie,0.75
148,trouver,finden,0.0
149,toutes,alles,0.3333333333333333
150,travail,arbeit,0.25
151,quelle,was,0.0
152,tête,kopf,0.0
153,pourrait,könnten,0.16666666666666666
154,ah,ah,1.0
155,pris,vergriffen,0.14285714285714285
156,pu,könnten,0.0
157,appelle,forderung,0.0
158,quelques,etwas,0.25
159,sait,weiß,0.0
160,voiture,wagen,0.0
161,arrête,gestoppt,0.16666666666666666
162,vite,schnell,0.0
163,partir,gehen,0.0
164,faites,fertig,0.5
165,enfants,kinder,0.2
166,seule,nur,0.0
167,hé,hey,0.5
168,merde,scheisse,0.0
169,tuer,töten,0.25
170,chance,chance,1.0
171,pendant,während,0.16666666666666666
172,parle,sprechen,0.3333333333333333
173,idée,idee,0.5
174,part,gehen,0.0
175,jours,tage,0.0
176,elles,sie,0.3333333333333333
177,hui,heute,0.5
178,demain,morgen,0.25
179,grand,groß,0.5
180,ami,freund,0.0
181,venir,kommen sie,0.16666666666666666
182,tard,spät,0.0
183,mec,alter,0.0
184,hein,äh,0.0
185,petite,klein,0.0
186,connais,wissen,0.0
187,passer,passieren,0.8
188,truc,sache,0.0
189,tant,so sehr,0.0
190,combien,wie,0.0
191,sens,sinn,0.6666666666666666
192,pouvez,kann,0.0
193,puis,dann,0.0
194,porte,tür,0.0
195,super,toll,0.0
196,sortir,ausgehen,0.25
197,heure,stunde,0.0
198,entendu,gehört,0.0
199,contre,gegen,0.0
200,coup,trete,0.0
201,vient,kommen sie,0.16666666666666666
202,comprends,verstehe,0.14285714285714285
203,allons,lass uns gehen,0.3
204,ensemble,ganz,0.0
205,nouveau,neu,0.5
206,amour,liebe,0.0
207,importe,importiert,0.6666666666666666
208,sang,blut,0.0
209,désolée,verzeihung,0.0
210,prends,nehmen,0.0
211,sous,unter,0.0
212,amis,freunde,0.0
213,cas,fall,0.0
214,rester,bleiben,0.0
215,tué,töten,0.25
216,hommes,männer,0.0
217,fini,fertig,0.25
218,devrais,sollen,0.0
219,question,frage,0.0
220,dernière,letzte,0.0
221,partie,teil,0.0
222,histoire,geschichte,0.14285714285714285
223,chercher,suchen,0.3333333333333333
224,seulement,nur,0.2
225,police,polizei,0.6666666666666666
226,pensais,gedanke,0.0
227,aide,hilfe,0.0
228,demande,anfrage,0.0
229,genre,geschlecht,0.125
230,mois,monat,0.3333333333333333
231,frère,bruder,0.5
232,laisser,verlassen,0.5
233,car,weil,0.0
234,mettre,stellen,0.2
235,aucun,nein,0.5
236,laisse,allein lassen,0.375
237,ville,stadt,0.0
238,chaque,jeder,0.0
239,parlé,sprechen,0.3333333333333333
240,arrivé,kommen sie,0.0
241,devrait,sollen,0.0
242,bébé,baby,0.5
243,longtemps,lange zeit,0.42857142857142855
244,heures,zeit,0.0
245,vont,gehen,0.0
246,putain,hure,0.0
247,revoir,wiedersehen,0.16666666666666666
248,aucune,keiner,0.3333333333333333
249,place,quadrat,0.0
250,ni,weder,0.0
251,compris,verstanden,0.0
252,savais,wusste,0.25
253,attention,warnung,0.2
254,voici,hier ist,0.0
255,pourrais,könnten,0.0
256,affaire,affäre,0.75
257,donner,geben,0.25
258,type,nett,0.0
259,leurs,ihr,0.3333333333333333
260,donné,gegeben,0.0
