,french,english,Distances
0,c',vs',0.3333333333333333
1,a,has,0.0
2,l',i',0.5
3,j',i,0.0
4,ça,that,0.0
5,d',of,0.0
6,qu',that,0.0
7,n',not',0.6666666666666666
8,bien,good,0.0
9,si,if,0.0
10,non,nope,0.5
11,t',you,0.0
12,tout,everything,0.14285714285714285
13,plus,more,0.0
14,m',me,0.5
15,fait,do,0.0
16,s',if,0.0
17,oui,yes,0.0
18,va,go,0.0
19,faire,to do,0.0
20,quoi,what,0.0
21,comme,as,0.0
22,sais,know,0.0
23,être,be,0.0
24,veux,want,0.0
25,ici,here,0.0
26,est-ce,is it,0.25
27,dit,said,0.0
28,pourquoi,why,0.0
29,où,where,0.0
30,là,the,0.0
31,rien,nothing,0.2
32,cette,this,0.0
33,quand,when,0.0
34,peux,can,0.0
35,dire,say,0.0
36,vais,go,0.0
37,alors,then,0.0
38,comment,how? 'or' what,0.09090909090909091
39,chose,thing,0.25
40,bon,well,0.0
41,merci,thank you,0.0
42,juste,just,1.0
43,très,very,0.25
44,jamais,never,0.0
45,aussi,too,0.0
46,avoir,have,0.0
47,vraiment,really,0.2
48,voir,see,0.0
49,oh,oh,1.0
50,maintenant,now,0.16666666666666666
51,tous,all,0.0
52,peut,may,0.0
53,deux,of them,0.0
54,allez,come on,0.0
55,autre,other,0.6666666666666666
56,peu,little,0.0
57,temps,time,0.5
58,quelque,some,0.0
59,fais,do,0.0
60,toujours,still,0.0
61,encore,again,0.0
62,besoin,need,0.0
63,accord,ok,0.0
64,faut,should,0.0
65,dois,must,0.3333333333333333
66,vie,life,0.0
67,peut-être,maybe,0.0
68,aller,go,0.0
69,fois,time,0.0
70,vu,seen,0.0
71,donc,so,0.0
72,sans,without,0.0
73,monde,world,0.25
74,parce,by,0.0
75,avant,before,0.0
76,sûr,sure,0.6666666666666666
77,trop,too,0.3333333333333333
78,quelqu',someone,0.0
79,parler,talk,0.25
80,personne,nobody,0.0
81,père,dad,0.0
82,crois,believe,0.0
83,après,after,0.0
84,dieu,god,0.5
85,ouais,yeah,0.0
86,pense,think,0.25
87,aime,love,0.0
88,homme,man,0.3333333333333333
89,viens,come,0.0
90,vrai,true,0.5
91,femme,women,0.3333333333333333
92,ok,ok,1.0
93,doit,must,0.3333333333333333
94,veut,wanna,0.0
95,ans,year,0.0
96,m.,mr.,0.6666666666666666
97,mal,wrong,0.0
98,chez,at the house of,0.1111111111111111
99,déjà,already,0.0
100,depuis,from,0.0
101,beaucoup,a lot,0.0
102,bonne,good,0.0
103,mort,dead,0.0
104,mieux,better,0.0
105,vas,go,0.0
106,mère,mother,0.5
107,dis,say,0.0
108,fille,daughter,0.0
109,gens,people,0.0
110,quel,what,0.0
111,vois,see,0.5
112,désolé,sorry,0.0
113,ca,that,0.0
114,voilà,so,0.0
115,petit,little,0.5
116,maison,home,0.0
117,cela,that,0.0
118,autres,others,0.75
119,toute,all,0.0
120,soir,evening,0.0
121,passé,past,0.5
122,prendre,take,0.0
123,jour,day,0.0
124,monsieur,sir,0.5
125,savoir,to know,0.0
126,choses,things,0.4
127,salut,hello,0.3333333333333333
128,cet,this,0.0
129,nom,name,1.0
130,argent,silver,0.0
131,bonjour,hello,0.0
132,nuit,night,0.5
133,raison,raison,1.0
134,moins,less,0.3333333333333333
135,arrive,arrived,0.75
136,maman,mom,0.6666666666666666
137,reste,rest,1.0
138,moment,moment,1.0
139,voulais,wanted,0.0
140,seul,only,0.3333333333333333
