spanish,german,index,alignment,spanish_eng,german_eng
respeto,achtung,0,0|0,I respect,Attention
propósitos,charta,1,1|5,purposes,charter
principios,vereinten,2,2|6,beginning,united
contenidos,nationen,3,3|4,contents,nations
carta,enthaltenen,4,4|1,letter,contained
naciones,ziele,5,5|2,nations,goals
unidas,grundsätze,6, 6|2,united,principles
lograr,erzielung,7,# 7|7,achieve,achievement
cooperación,internationalen,8, 8|9,cooperation,international
internacional,zusammenarbeit,9, 9|8,international,cooperation
promoción,förderung,10,10|10,promotion,advancement
fomento,förderung,11,11|11,promotion,advancement
respeto,achtung,12,12|12,I respect,Attention
derechos,menschenrechte,13,"15,16|13",Rights,human rights
humanos,grundfreiheiten,14,,humans,fundamental freedoms
libertades,sowie,15,"17,18|14",freedoms,as
fundamentales,lösung,16,,fundamental,solution
solución,internationaler,17, 17|16,solution,international
problemas,probleme,18, 18|18,problems,problems
internacionales,humanitären,19, 19|17,international,humanitarian
carácter,charakters,20, 20|20,character,character
humanitario,generalversammlung,21, 21|19,humanitarian,general assembly
asamblea,daran,22,"22,23|21",Assembly,to it
general,erinnernd,23,,general,reminiscent
recordando,gemäß,24,24|23,remembering,according to
que,artikel,25,,that,items
conformidad,charta,26,26|24,accordance,charter
artículo,vereinten,27,27|25,Article,united
carta,nationen,28,28|26,letter,nations
naciones,mitgliedstaaten,29, 29|28,nations,member states
unidas,verpflichtet,30, 30|27,united,Committed
miembros,haben,31,,members,to have
comprometido,zusammenarbeit,32, 32|30,committed,cooperation
tomar,organisation,33,,take,organization
medidas,gemeinsame,34, 34|36,measures,common
conjuntas,getrennte,35,35|34,joint,separate
separadas,maßnahmen,36,# 36|35,separated,measures
cooperación,verwirklichung,37, 37|32,cooperation,realization
organización,artikel,38, 38|33,organization,items
logro,genannten,39,39|37,achievement,mentioned
propósitos,ziele,40,40|40,purposes,goals
establecidos,ergreifen,41,,established,seize
artículo,einschließlich,42,42|40,Article,including
incluido,universellen,43,,included,universal
respeto,achtung,44,44|44,I respect,Attention
universal,einhaltung,45, 45|43,universal,observance
observancia,menschenrechte,46, 46|45,observance,human rights
derechos,grundfreiheiten,47,"47,48|46",Rights,fundamental freedoms
humanos,unterschied,48,,humans,difference
libertades,rasse,49,"49,50|47",freedoms,race
fundamentales,geschlechts,50,,fundamental,gender
distinción,sprache,51,51|48,distinction,language
raza,religion,52, 52|49,race,religion
sexo,ferner,53,53|50,sex,further
idioma,hinweis,54,56|51,idiom,Note
religión,präambel,55, 55|52,religion,preamble
recordando,charta,56,,remembering,charter
preámbulo,insbesondere,57, 57|55,preamble,in particular
carta,entschlossenheit,58,58|56,letter,determination
particular,glauben,59,# 59|57,particular,believe
determinación,grundlegenden,60, 60|58,determination,basic
reafirmar,menschenrechte,61,# 61|72,reaffirm,human rights
fe,wert,62,62|59,faith,value
derechos,menschlichen,63,"63,64|61",Rights,human
