german,russian,index,alignment,german_eng,russian_eng
achtung,уважение,0,0|0,Attention,respect
charta,целей,1,1|4,charter,goals
vereinten,принципов,2, 2|6,united,principles
nationen,содержащихся,3, 3|7,nations,contained
enthaltenen,уставе,4, 4|3,contained,bylaws
ziele,организации,5,5|1,goals,organization
grundsätze,объединенных,6,6|2,principles,united
erzielung,наций,7,# 7|8,achievement,nations
internationalen,достижения,8, 8|9,international,achievements
zusammenarbeit,международного,9, 9|10,cooperation,international
förderung,сотрудничества,10,10|11,advancement,cooperation
förderung,поощрении,11,11|12,advancement,encouragement
achtung,поощрении,12,12|13,Attention,encouragement
menschenrechte,уважения,13,"13|15,14",human rights,respect
grundfreiheiten,прав,14,"14|16,17",fundamental freedoms,right
sowie,человека,15,,as,human
lösung,основных,16,16|18,solution,major
internationaler,свобод,17, 17|19,international,freedoms
probleme,решении,18, 18|20,problems,the decision
humanitären,международных,19,19|21,humanitarian,international
charakters,проблем,20, 20|22,character,problems
generalversammlung,гуманитарного,21,"21|23,24",general assembly,humanitarian
daran,характера,22,,to it,character
erinnernd,генеральная,23,23|25,reminiscent,general
gemäß,ассамблея,24,24|26,according to,Assembly
artikel,напоминая,25,25|27,items,recalling
charta,соответствии,26, 26|28,charter,conformity
vereinten,статьей,27, 27|30,united,article
nationen,устава,28, 28|31,nations,charter
mitgliedstaaten,организации,29, 29|32,member states,organization
verpflichtet,объединенных,30,30|33,Committed,united
haben,наций,31,31|34,to have,nations
zusammenarbeit,государства-члены,32, 32|38,cooperation,member states
organisation,обязались,33, 33|29,organization,pledged
gemeinsame,предпринимать,34,34|34,common,to undertake
getrennte,совместные,35, 35|36,separate,joint
maßnahmen,отдельные,36,36|37,measures,separate
verwirklichung,действия,37,,realization,actions
artikel,сотрудничестве,38,38|43,items,cooperation
genannten,организацией,39,39|42,mentioned,organization
ziele,достижения,40, 40|41,goals,achievements
ergreifen,целей,41,,seize,goals
einschließlich,изложенных,42, 42|44,including,outlined
universellen,статье,43,43|45,universal,article
achtung,включая,44,44|46,Attention,including
einhaltung,всеобщее,45, 45|47,observance,general
menschenrechte,уважение,46,"46|49,48",human rights,respect
grundfreiheiten,соблюдение,47,"47|50,51",fundamental freedoms,observance
unterschied,прав,48,## 48|53,difference,right
rasse,человека,49,* 49|54,race,human
geschlechts,основных,50,50|55,gender,major
sprache,свобод,51,* 51|56,language,freedoms
religion,всех,52,## 52|57,religion,of all
ferner,различия,53,,further,differences
hinweis,расы,54,,Note,race
präambel,пола,55,* 55|60,preamble,sex
charta,языка,56,* 56|61,charter,language
insbesondere,религии,57,## 57|62,in particular,religions
entschlossenheit,напоминая,58,* 58|63,determination,recalling
glauben,также,59,59|65,believe,also
grundlegenden,преамбуле,60,60|66,basic,preamble
menschenrechte,уставу,61,"61|68,67",human rights,charter
wert,частности,62,* 62|70,value,particular
menschlichen,решимости,63, 63|68,human,determination
person,подтвердить,64,## 64|72,person,confirm
gleichberechtigung,веру,65,"65|73,74",equal rights,faith
männern,основные,66,## 66|40,men,the main
frauen,права,67,* 67|76,women,rights
sowie,человека,68,,as,human
großen,достоинство,69,69|77,huge,dignity
kleinen,ценность,70,* 70|78,small,value
nationen,человеческой,71,* 71|79,nations,human
bekräftigen,личности,72,,affirm,personality
bekräftigend,равные,73,,affirming,equal
förderung,права,74,74|82,advancement,rights
schutz,мужчин,75,* 75|83,protection,men
menschenrechte,женщин,76,"76|85,84",human rights,women
grundfreiheiten,больших,77,"77|86,87",fundamental freedoms,large
einklang,малых,78,,unison,small
zielen,наций,79,** 79|99,aim,nations
grundsätzen,вновь,80,80|97,principles,again
insbesondere,подтверждая,81,### 81|98,in particular,reaffirming
zweck,поощрение,82,,purpose,encouragement
internationalen,защита,83,83|100,international,protection
zusammenarbeit,прав,84,** 84|101,cooperation,right
vorrangiges,человека,85,* 85|90,priority,human
ziel,основных,86,,target,major
vereinten,свобод,87,* 87|93,united,freedoms
nationen,должны,88,* 88|94,nations,must
anzusehen,рассматриваться,89,,to watch,be considered
sind,приоритетная,90,,are,priority
rahmen,цель,91,## 91|102,frame,goal
ziele,организации,92,# 92|91,goals,organization
grundsätze,объединенных,93,93|105,principles,united
förderung,наций,94,94|106,advancement,nations
schutz,соответствии,95,* 95|107,protection,conformity
menschenrechte,целями,96,"96|109,108",human rights,goals
legitimes,принципами,97,97|111,legitimate,principles
anliegen,частности,98,98|112,issue,particular
internationalen,целью,99, 99|100,international,aim
gemeinschaft,международного,100,** 100|114,community,international
anbetracht,сотрудничества,101,,considering,cooperation
großen,рамках,102,,huge,the framework
veränderungen,этих,103,** 103|118,changes,of these
internationalen,целей,104,* 104|113,international,goals
bühne,принципов,105,105|121,stage,principles
bestrebungen,поощрение,106,** 106|122,aspirations,encouragement
völker,защита,107,107|123,people,protection
internationalen,прав,108,* 108|120,international,right
ordnung,человека,109,** 109|125,order,human
grundlage,являются,110,,basis,are
charta,законной,111,111|129,charter,legal
verankerten,заботой,112,112|126,anchored,concern
grundsätze,международного,113,113|127,principles,international
einschließlich,сообщества,114,** 114|130,including,community
förderung,принимая,115,115|131,advancement,taking
ermutigung,внимание,116,116|132,encouragement,Attention
achtung,основные,117,117|133,Attention,the main
menschenrechte,изменения,118,## 118|108,human rights,changes
grundfreiheiten,происходящие,119,### 119|137,fundamental freedoms,occurring
achtung,международной,120,******* 120|184,Attention,international
grundsatzes,арене,121,## 121|127,principle,arena
gleichberechtigung,стремления,122,### 122|84,equal rights,aspirations
selbstbestimmung,народов,123,*** 123|141,self-determination,peoples
völker,международному,124,# 124|123,people,international
frieden,порядку,125,*** 125|143,peace,order
demokratie,основанному,126,*** 126|144,democracy,founded
gerechtigkeit,принципах,127,*** 127|145,Justice,principles
gleichheit,закрепленных,128,#### 128|73,equality,fixed
rechtsstaatlichkeit,уставе,129,,rule of law,bylaws
pluralismus,включая,130,*** 130|149,pluralism,including
entwicklung,поощрение,131,*** 131|150,development,encouragement
besserer,поощрение,132,,better,encouragement
lebensstandard,уважения,133,,standard of living,respect
solidarität,прав,134,*** 134|154,solidarity,right
erkenntnis,человека,135,,Understanding,human
internationale,основных,136,** 136|124,international,major
gemeinschaft,свобод,137,*** 137|157,community,freedoms
mittel,уважения,138,,middle,respect
wege,принципа,139,,ways,principle
finden,равноправия,140,,Find,equal rights
sollte,самоопределение,141,,should,self-determination
strömungen,народов,142,#### 142|163,currents,peoples
