english,german,index,alignment,english_eng,german_eng
deeply,zutiefst,0,0|0,deeply,deeply
convinced,überzeugt,1, 1|1,convinced,convinced
common,gemeinsamen,2, 2|2,common,common
interest,interesse,3, 3|3,interest,interest
mankind,menschheit,4, 4|4,mankind,mankind
promoting,förderung,5,5|5,promoting,advancement
expanding,ausweitung,6,6|6,expanding,expansion
exploration,erforschung,7, 7|7,exploration,exploration
use,nutzung,8, 8|8,use,use
outer,weltraums,9,,outer,space
space,friedliche,10,10|9,space,peaceful
peaceful,zwecke,11,11|10,peaceful,purposes
purposes,anhaltenden,12, 12|11,purposes,persistent
continuing,bemühungen,13,13|12,continuing,efforts
efforts,daraus,14, 14|13,efforts,from it
extend,resultierenden,15,15|18,extend,resulting
states,vorteile,16,16|17,states,advantages
benefits,staaten,17,17|16,benefits,states
derived,auszuweiten,18,,derived,to expand
therefrom,sowie,19,,therefrom,as
also,bedeutung,20,,also,meaning
importance,internationalen,21,21|20,importance,international
international,zusammenarbeit,22, 22|21,international,cooperation
cooperation,gebiet,23, 23|22,cooperation,area
field,vereinten,24,24|23,field,united
united,nationen,25,25|24,united,nations
nations,sollten,26, 26|25,nations,should
continue,weiterhin,27,,continue,Farther
provide,anlaufstelle,28,,provide,contact point
focal,sein,29,"29,30|28",focal,be
point,bekräftigung,30,,point,affirmation
reaffirming,bedeutung,31,31|30,reaffirming,meaning
importance,internationalen,32,32|31,importance,international
international,zusammenarbeit,33, 33|32,international,cooperation
cooperation,entwicklung,34, 34|33,cooperation,development
developing,rechtsstaatlichkeit,35,35|34,developing,rule of law
rule,einschließlich,36," 36,36|35",rule,including
law,einschlägigen,37,,law,relevant
including,normen,38, 38|36,including,standards
relevant,weltraumrechts,39, 39|37,relevant,space law
norms,wichtigen,40,40|38,norms,important
space,rolle,41," 41,42|39",space,role
law,internationalen,42,,law,international
important,zusammenarbeit,43, 43|40,important,cooperation
role,erforschung,44, 44|41,role,exploration
international,nutzung,45, 45|42,international,use
cooperation,weltraums,46, 46|43,cooperation,space
exploration,friedliche,47, 47|44,exploration,peaceful
use,zwecke,48, 48|45,use,purposes
outer,sowie,49,,outer,as
space,größtmöglichen,50, 50|56,space,greatest possible
peaceful,einhaltung,51, 51|47,peaceful,observance
purposes,internationaler,52, 52|48,purposes,international
widest,verträge,53,"53,54|50",widest,contracts
possible,friedliche,54,,possible,peaceful
adherence,nutzung,55,,adherence,use
international,weltraums,56, 56|52,international,space
treaties,ernsthaft,57,57|53,treaties,serious
promote,besorgt,58,,promote,concerned
peaceful,möglichkeit,59, 59|54,peaceful,opportunity
uses,wettrüstens,60, 60|55,uses,rude
outer,weltraum,61,,outer,space
space,erkenntnis,62,62|56,space,Understanding
seriously,staaten,63, 63|57,seriously,states
concerned,insbesondere,64, 64|58,concerned,in particular
possibility,diejenigen,65,,possibility,those
arms,großen,66,"66,67|60",arms,huge
race,weltraumkapazitäten,67,,race,space capacities
outer,aktiv,68,,outer,active
space,ziel,69, 69|61,space,target
recognizing,beitragen,70,,recognizing,contribute
states,sollten,71,* 71|63,states,should
particular,wettrüsten,72,# 72|64,particular,arms race
major,weltraum,73,,major,space
space,wesentliche,74," 74,75|67",space,essential
capabilities,voraussetzung,75,,capabilities,pre-condition
contribute,förderung,76, 76|70,contribute,advancement
actively,internationalen,77,# 77|68,actively,international
goal,zusammenarbeit,78,78|69,goal,cooperation
preventing,erforschung,79,,preventing,exploration
arms,nutzung,80,"80,81|72",arms,use
race,weltraums,81,,race,space
outer,friedliche,82,,outer,peaceful
space,zwecke,83, 83|81,space,purposes
essential,verhindern,84,* 84|74,essential,impede
condition,angesichts,85,# 85|75,condition,given
promotion,tatsache,86,,promotion,fact
international,weltraummüll,87,* 87|77,international,space debris
cooperation,nationen,88,* 88|78,cooperation,nations
exploration,problem,89, 89|79,exploration,problem
use,darstellt,90, 90|80,use,represents
outer,hinweis,91,,outer,Note
space,fortschritte,92, 92|87,space,progress
peaceful,weiterentwicklung,93, 93|94,peaceful,further development
purposes,friedlichen,94,* 94|83,purposes,peaceful
considering,erforschung,95,,considering,exploration
space,anwendung,96," 96,97|87",space,use
debris,weltraums,97,,debris,space
issue,sowie,98,,issue,as
concern,verschiedenen,99,,concern,different
nations,nationalen,100,* 100|88,nations,national
noting,kooperativen,101,,noting,cooperative
progress,weltraumprojekten,102,* 102|92,progress,space projects
achieved,erzielt,103, 103|103,achieved,achieved
development,wurden,104,# 104|93,development,became
peaceful,internationalen,105,* 105|146,peaceful,international
space,zusammenarbeit,106, 106|102,space,cooperation
exploration,beitragen,107,* 107|145,exploration,contribute
applications,bedeutung,108,,applications,meaning
well,weiteren,109,,well,further
various,internationalen,110,,various,international
national,zusammenarbeit,111, 111|110,national,cooperation
cooperative,bereich,112,* 112|101,cooperative,area
space,überzeugt,113,,space,convinced
projects,bedeutung,114,,projects,meaning
contributes,resolution,115,# 115|107,contributes,resolution
international,"""the",116,,international,"""the"
