english,french,index,alignment,english_eng,french_eng
deeply,profondément,0,0|0,deeply,deeply
convinced,convaincu,1, 1|1,convinced,convinced
common,intérêt,2, 2|3,common,interest
interest,commun,3, 3|2,interest,common
mankind,humanité,4,4|4,mankind,humanity
promoting,promouvoir,5,5|5,promoting,promote
expanding,étendre,6,6|6,expanding,to expand
exploration,exploration,7, 7|7,exploration,exploration
use,utilisation,8, 8|8,use,use
outer,espace,9, 9|10,outer,space
space,extra-atmosphérique,10, 10|9,space,outer space
peaceful,fins,11, 11|12,peaceful,ends
purposes,pacifiques,12,12|11,purposes,peaceful
continuing,poursuivre,13,13|13,continuing,to chase
efforts,efforts,14, 14|14,efforts,efforts
extend,faire,15,15|18,extend,to do
states,bénéficier,16, 16|18,states,benefit
benefits,tous,17, 17|16,benefits,all
derived,états,18,,derived,states
therefrom,avantages,19,19|21,therefrom,advantages
also,découlent,20,,also,arise
importance,ainsi,21, 21|22,importance,Thus
international,importance,22, 22|24,international,importance
cooperation,coopération,23, 23|23,cooperation,cooperation
field,internationale,24,24|25,field,international
united,domaine,25, 25|27,united,domain
nations,laquelle,26,,nations,which
continue,onu,27, 27|29,continue,UN
provide,doit,28,28|30,provide,must
focal,continuer,29, 29|32,focal,Continue
point,servir,30, 30|31,point,to serve
reaffirming,point,31, 31|33,reaffirming,point
importance,focal,32, 32|34,importance,focal
international,réaffirmant,33, 33|36,international,reaffirming
cooperation,importance,34, 34|35,cooperation,importance
developing,coopération,35,35|37,developing,cooperation
rule,internationale,36,,rule,international
law,développement,37, 37|39,law,development
including,état,38,,including,state
relevant,droit,39, 39|42,relevant,law
norms,compris,40,40|41,norms,understood
space,normes,41, 41|51,space,standards
law,pertinentes,42, 42|43,law,relevant
important,droit,43, 43|46,important,law
role,spatial,44, 44|45,role,spatial
international,rôle,45, 45|48,international,role
cooperation,important,46, 46|47,cooperation,important
exploration,coopération,47, 47|49,exploration,cooperation
use,internationale,48, 48|50,use,international
outer,exploration,49, 49|52,outer,exploration
